угол: 0; радиус: 48
угол: 1; радиус: 48,0104155366312
угол: 2; радиус: 47,0425339453563
угол: 3; радиус: 47,0664423979548
угол: 4; радиус: 47,0956473572665
угол: 5; радиус: 46,1735855224608
угол: 6; радиус: 46,2709412050371
угол: 7; радиус: 45,8312120721239
угол: 8; радиус: 45,3982378512647
угол: 9; радиус: 45,5411901469428
угол: 10; радиус: 44,7213595499958
угол: 11; радиус: 44,8135024295134
угол: 12; радиус: 44,9110231457712
угол: 13; радиус: 44,1474801092882
угол: 14; радиус: 44,3846820423443
угол: 15; радиус: 44,0283999255026
угол: 16; радиус: 43,6806593356831
угол: 17; радиус: 43,9658958739612
угол: 18; радиус: 43,6405774480586
угол: 19; радиус: 43,3243580448689
угол: 20; радиус: 43,6577599058861
угол: 21; радиус: 44,0113621693308
угол: 22; радиус: 43,7321392113398
угол: 23; радиус: 43,4626276242015
угол: 24; радиус: 43,8634243989226
угол: 25; радиус: 43,6176569751288
угол: 26; радиус: 43,3820239269677
угол: 27; радиус: 43,8292140016223
угол: 28; радиус: 43,6176569751288
угол: 29; радиус: 43,4165866921848
угол: 30; радиус: 43,9089968002003
угол: 31; радиус: 43,7321392113398
угол: 32; радиус: 43,5660418215839
угол: 33; радиус: 44,1021541423999
угол: 34; радиус: 43,9602092806665
угол: 35; радиус: 43,8292140016223
угол: 36; радиус: 44,407206622349
угол: 37; радиус: 44,3001128666734
угол: 38; радиус: 44,2040722106007
угол: 39; радиус: 44,8218696620299
угол: 40; радиус: 44,6878059430087
угол: 41; радиус: 45,3431361950185
угол: 42; радиус: 45,3045251602972
угол: 43; радиус: 45,2769256906871
угол: 44; радиус: 45,9673797382448
угол: 45; радиус: 45,9619407771256
угол: 46; радиус: 45,9673797382448
угол: 47; радиус: 46,690470119715
угол: 48; радиус: 47,4236228055175
угол: 49; радиус: 47,5078940808788
угол: 50; радиус: 48,2700735445887
угол: 51; радиус: 48,3373561544278
угол: 52; радиус: 48,4148737476408
угол: 53; радиус: 49,300101419774
угол: 54; радиус: 49,4064773081425
угол: 55; радиус: 50,2195181179589
угол: 56; радиус: 50,4777178564959
угол: 57; радиус: 51,31276644267
угол: 58; радиус: 51,6236379965612
угол: 59; радиус: 52,4785670536077
угол: 60; радиус: 52,6545344676031
угол: 61; радиус: 52,8393792544916
угол: 62; радиус: 54,1202365109392
угол: 63; радиус: 55,0090901579003
угол: 64; радиус: 55,4616984954482
угол: 65; радиус: 57,2712842531054
угол: 66; радиус: 57,0635610525666
угол: 67; радиус: 57,7754273026172
угол: 68; радиус: 59,2368128784795
угол: 69; радиус: 60,1664358259653
угол: 70; радиус: 61,6846820531645
угол: 71; радиус: 62,2976725086901
угол: 72; радиус: 63,2455532033676
угол: 73; радиус: 64,8459713474939
угол: 74; радиус: 66,4830805543786
угол: 75; радиус: 67,1863081289633
угол: 76; радиус: 68,1542368455549
угол: 77; радиус: 68,8839603971781
угол: 78; радиус: 72,5672102261069
угол: 79; радиус: 73,348483283569
угол: 80; радиус: 76,1183289359403
угол: 81; радиус: 77,9294552784761
угол: 82; радиус: 78,7718223732319
угол: 83; радиус: 80,6225774829855
угол: 84; радиус: 83,4865258589672
угол: 85; радиус: 85,375640553966
угол: 86; радиус: 89,2020179143947
угол: 87; радиус: 92,1357693840997
угол: 88; радиус: 94,0850678907126
угол: 89; радиус: 99,0050503762308
угол: 90; радиус: 102
угол: 91; радиус: 106,018866245589
угол: 92; радиус: 108,041658632215
угол: 93; радиус: 119,205704561485
угол: 94; радиус: 120,266371026983
угол: 95; радиус: 121,412519947491
угол: 96; радиус: 120,702112657567
угол: 97; радиус: 116,841773351828
угол: 98; радиус: 111,157545852722
угол: 99; радиус: 107,354552767919
угол: 100; радиус: 105,54619841567
угол: 101; радиус: 101
угол: 102; радиус: 98,2700361249552
угол: 103; радиус: 95,5667306126981
угол: 104; радиус: 93,8616002420585
угол: 105; радиус: 90,2496537389479
угол: 106; радиус: 89,2860571421989
угол: 107; радиус: 86,6833317310773
угол: 108; радиус: 85,0705589496155
угол: 109; радиус: 83,4865258589672
угол: 110; радиус: 80,0562302385017
угол: 111; радиус: 79,4795571200545
угол: 112; радиус: 77,6208734813001
угол: 113; радиус: 76,1577310586391
угол: 114; радиус: 75,2396172239067
угол: 115; радиус: 72,9177618965366
угол: 116; радиус: 72,4499827467198
угол: 117; радиус: 70,6611633077181
угол: 118; радиус: 69,3541635375988
угол: 119; радиус: 68,47627326308
угол: 120; радиус: 68,0955211449329
угол: 121; радиус: 66,2004531706544
угол: 122; радиус: 65,1920240520265
угол: 123; радиус: 65,0422939324867
угол: 124; радиус: 64,0702739185654
угол: 125; радиус: 63,2455532033676
угол: 126; радиус: 63,0079360080935
угол: 127; радиус: 61,400325732035
угол: 128; радиус: 61,2209114600559
угол: 129; радиус: 60,4400529450463
угол: 130; радиус: 59,6657355607052
угол: 131; радиус: 59,5482997238376
угол: 132; радиус: 58,0517010948
угол: 133; радиус: 58,0215477215146
угол: 134; радиус: 57,2800139664787
угол: 135; радиус: 57,6302871761021
угол: 136; радиус: 57,2800139664787
угол: 137; радиус: 55,9016994374947
угол: 138; радиус: 55,9329956286985
угол: 139; радиус: 55,9732078766261
угол: 140; радиус: 54,6717477313466
угол: 141; радиус: 54,4265560181792
угол: 142; радиус: 54,2033209314706
угол: 143; радиус: 53,6003731330296
угол: 144; радиус: 53,7075413699045
угол: 145; радиус: 53,8237865631916
угол: 146; радиус: 53,2541078227774
угол: 147; радиус: 52,6972485050216
угол: 148; радиус: 53
угол: 149; радиус: 52,4785670536077
угол: 150; радиус: 51,9711458407451
угол: 151; радиус: 52,3545604508337
угол: 152; радиус: 51,8844870842914
угол: 153; радиус: 51,4295634824952
угол: 154; радиус: 51,6575260731677
угол: 155; радиус: 51,8941229813165
угол: 156; радиус: 51,478150704935
угол: 157; радиус: 52
угол: 158; радиус: 51,6236379965612
угол: 159; радиус: 51,2640224719052
угол: 160; радиус: 51,5606439059871
угол: 161; радиус: 51,8652099195598
угол: 162; радиус: 51,5460958754395
угол: 163; радиус: 51,2445119012758
угол: 164; радиус: 51,9230199429887
угол: 165; радиус: 51,662365412358
угол: 166; радиус: 51,5388203202208
угол: 167; радиус: 51,4198405287298
угол: 168; радиус: 52,1727898429823
угол: 169; радиус: 51,9711458407451
угол: 170; радиус: 51,7880295048962
угол: 171; радиус: 52,6117857518636
угол: 172; радиус: 52,4690384893796
угол: 173; радиус: 52,3450093132096
угол: 174; радиус: 52,7873090808766
угол: 175; радиус: 53,2353266168247
угол: 176; радиус: 53,1507290636732
угол: 177; радиус: 53,084837759948
угол: 178; радиус: 54,0370243444252
угол: 179; радиус: 54,0092584655631
угол: 180; радиус: 55
угол: 181; радиус: 55,0090901579003
угол: 182; радиус: 55,0363516232681
угол: 183; радиус: 56,0802995712398
угол: 184; радиус: 56,1426753904728
угол: 185; радиус: 56,2227711874824
угол: 186; радиус: 57,3149195236284
угол: 187; радиус: 57,4282160614449
угол: 188; радиус: 57,5586657246326
угол: 189; радиус: 58,6941223633168
угол: 190; радиус: 58,8557558782486
угол: 191; радиус: 60,2079728939615
угол: 192; радиус: 60,4152298679729
угол: 193; радиус: 60,6382717431821
угол: 194; радиус: 61,8465843842649
угол: 195; радиус: 62,0966987850401
угол: 196; радиус: 62,3618473106755
угол: 197; радиус: 63,8905313798532
угол: 198; радиус: 65,1459898996093
угол: 199; радиус: 65,4599113962126
угол: 200; радиус: 65,7875368135941
угол: 201; радиус: 67,4166151627327
угол: 202; радиус: 67,7790528113222
угол: 203; радиус: 69,462219947249
угол: 204; радиус: 71,175838597097
угол: 205; радиус: 72,0138875495553
угол: 206; радиус: 73,348483283569
угол: 207; радиус: 74,2428447730823
угол: 208; радиус: 76,0591874792257
угол: 209; радиус: 76,5375724726098
угол: 210; радиус: 79,7558775263617
угол: 211; радиус: 80,2620707432845
угол: 212; радиус: 82,6801064343775
угол: 213; радиус: 83,2165848854662
угол: 214; радиус: 85,146931829632
угол: 215; радиус: 88,2326470191165
угол: 216; радиус: 90,2108640907513
угол: 217; радиус: 92,8008620649615
угол: 218; радиус: 94,8103369891701
угол: 219; радиус: 96,0468635614927
угол: 220; радиус: 95,9009906101079
угол: 221; радиус: 94,2602779541839
угол: 222; радиус: 91,3509715328742
угол: 223; радиус: 89,1403387922662
угол: 224; радиус: 89,1066776397819
угол: 225; радиус: 86,9770084562581
угол: 226; радиус: 85,5862138431184
угол: 227; радиус: 84,8999411071645
угол: 228; радиус: 82,8794304999739
угол: 229; радиус: 81,5659242576212
угол: 230; радиус: 80,9197132965756
угол: 231; радиус: 81,0555365166378
угол: 232; радиус: 79,8122797569397
угол: 233; радиус: 79,2022726946645
угол: 234; радиус: 77,4209274033836
угол: 235; радиус: 76,8439978137525
угол: 236; радиус: 75,7165767847438
угол: 237; радиус: 75,1664818918645
угол: 238; радиус: 74,6257328272225
угол: 239; радиус: 74,4311762637136
угол: 240; радиус: 73,9256383131049
угол: 241; радиус: 72,9451848993475
угол: 242; радиус: 72,4706837279738
угол: 243; радиус: 71,5541752799933
угол: 244; радиус: 71,1125867902441
угол: 245; радиус: 70,6823881882892
угол: 246; радиус: 69,8569967862919
угол: 247; радиус: 70,3846574190711
угол: 248; радиус: 70,0071424927486
угол: 249; радиус: 69,6419413859206
угол: 250; радиус: 69,28924880528
угол: 251; радиус: 68,6221538571911
угол: 252; радиус: 68,3081254317523
угол: 253; радиус: 68,0073525436772
угол: 254; радиус: 67,7200118133481
угол: 255; радиус: 67,446274915669
угол: 256; радиус: 66,9402718847182
угол: 257; радиус: 66,7083203206317
угол: 258; радиус: 67,468511173732
угол: 259; радиус: 67,2681202353686
угол: 260; радиус: 67,0820393249937
угол: 261; радиус: 66,7532770731145
угол: 262; радиус: 66,6108099335236
