угол: 0; радиус: 19
угол: 1; радиус: 19,3362066830309
угол: 2; радиус: 19,6779628575273
угол: 3; радиус: 20,0249843945008
угол: 4; радиус: 20,5548047910945
угол: 5; радиус: 21,095023109729
угол: 6; радиус: 21,4605581370932
угол: 7; радиус: 21,8301524400439
угол: 8; радиус: 22,2036033111745
угол: 9; радиус: 22,2766694099455
угол: 10; радиус: 22,3606797749979
угол: 11; радиус: 22,9455878111675
угол: 12; радиус: 23,5372045918796
угол: 13; радиус: 24,1350367722943
угол: 14; радиус: 24,738633753706
угол: 15; радиус: 25,3475837112732
угол: 16; радиус: 25,9615099714943
угол: 17; радиус: 25,6222559506379
угол: 18; радиус: 25,298221281347
угол: 19; радиус: 25,7207222984806
угол: 20; радиус: 25,2036152609546
угол: 21; радиус: 24,6981780704569
угол: 22; радиус: 23,7697286480094
угол: 23; радиус: 23,5914297056273
угол: 24; радиус: 23,4212628941216
угол: 25; радиус: 23,259406699226
угол: 26; радиус: 22,8089894559141
угол: 27; радиус: 22,3606797749979
угол: 28; радиус: 21,4709105535839
угол: 29; радиус: 21,3359373410737
угол: 30; радиус: 21,2105843599107
угол: 31; радиус: 21,095023109729
угол: 32; радиус: 20,6700266085944
угол: 33; радиус: 20,2484567313166
угол: 34; радиус: 20,1773387739811
угол: 35; радиус: 20,1121853611188
угол: 36; радиус: 20,0530546301555
угол: 37; радиус: 20
угол: 38; радиус: 19,6022957839127
угол: 39; радиус: 19,2093727122985
угол: 40; радиус: 18,8215302247187
угол: 41; радиус: 18,4390889145858
угол: 42; радиус: 18,4153468607029
угол: 43; радиус: 18,3983694929741
угол: 44; радиус: 18,3881755484333
угол: 45; радиус: 18,3847763108502
угол: 46; радиус: 18,0346887968714
угол: 47; радиус: 17,6918060129541
угол: 48; радиус: 17,4674300087652
угол: 49; радиус: 17,2465777603687
угол: 50; радиус: 17,0293863659264
угол: 51; радиус: 17,0623855307516
угол: 52; радиус: 17,1026313764871
угол: 53; радиус: 17,1500728861425
угол: 54; радиус: 17,2046505340853
угол: 55; радиус: 17,0130668735665
угол: 56; радиус: 16,8259059521653
угол: 57; радиус: 16,6433169770932
угол: 58; радиус: 16,7056876542093
угол: 59; радиус: 16,772596698186
угол: 60; радиус: 16,8439900261191
угол: 61; радиус: 16,9198108736475
угол: 62; радиус: 17
угол: 63; радиус: 16,8457050246577
угол: 64; радиус: 16,6966397151576
угол: 65; радиус: 16,5529453572468
угол: 66; радиус: 16,4147630029935
угол: 67; радиус: 16,2822329890931
угол: 68; радиус: 16,1554944214035
угол: 69; радиус: 16,2689889052762
угол: 70; радиус: 16,3865798750075
угол: 71; радиус: 16,5081797906371
угол: 72; радиус: 16,6337007307454
угол: 73; радиус: 16,7630546142402
угол: 74; радиус: 16,6666666666667
угол: 75; радиус: 16,5764223455418
угол: 76; радиус: 16,4924225024706
угол: 77; радиус: 16,6770800801579
угол: 78; радиус: 16,867127793433
угол: 79; радиус: 17,0623855307516
угол: 80; радиус: 17,2626765016321
угол: 81; радиус: 17,2078793321871
угол: 82; радиус: 17,1593835683117
угол: 83; радиус: 17,1172427686237
угол: 84; радиус: 17,0898361607126
угол: 85; радиус: 17,066048165876
угол: 86; радиус: 17,0458939337308
угол: 87; радиус: 17,0293863659264
угол: 88; радиус: 17,3461491083436
угол: 89; радиус: 17,6698110409314
угол: 90; радиус: 18
угол: 91; радиус: 18,0030861551877
угол: 92; радиус: 18,0123414481417
угол: 93; радиус: 18,0277563773199
угол: 94; радиус: 18,3817542386163
угол: 95; радиус: 18,7409237291608
угол: 96; радиус: 19,1049731745428
угол: 97; радиус: 19,1427386871483
угол: 98; радиус: 19,1862219082109
угол: 99; радиус: 19,2353840616713
угол: 100; радиус: 19,290181728307
угол: 101; радиус: 19,3505670316
угол: 102; радиус: 19,4164878389476
угол: 103; радиус: 20,0124960961895
угол: 104; радиус: 20,6155281280883
угол: 105; радиус: 20,6988995950134
угол: 106; радиус: 20,7872824368918
угол: 107; радиус: 20,8806130178211
угол: 108; радиус: 21,0297408448131
угол: 109; радиус: 21,1896201004171
угол: 110; радиус: 21,8288799529431
угол: 111; радиус: 22,4722050542442
угол: 112; радиус: 22,6550215184184
угол: 113; радиус: 22,8473193175917
угол: 114; радиус: 24,1660919471891
угол: 115; радиус: 24,3059206321789
угол: 116; радиус: 24,4494944278563
угол: 117; радиус: 24,5967477524977
угол: 118; радиус: 25,5
угол: 119; радиус: 26,4196896272458
угол: 120; радиус: 25,9855729203726
угол: 121; радиус: 26,9258240356725
угол: 122; радиус: 28,3019433961698
угол: 123; радиус: 29,6816441593117
угол: 124; радиус: 26,6270539113887
угол: 125; радиус: 28,0178514522438
угол: 126; радиус: 25,8069758011279
угол: 127; радиус: 25
угол: 128; радиус: 24,2074368738204
угол: 129; радиус: 23,8170107276291
угол: 130; радиус: 23,43074902772
угол: 131; радиус: 21,2602916254693
угол: 132; радиус: 21,5928228816892
угол: 133; радиус: 20,5182845286832
угол: 134; радиус: 20,1556443707464
угол: 135; радиус: 19,7989898732233
угол: 136; радиус: 19,4486503387767
угол: 137; радиус: 19,1049731745428
угол: 138; радиус: 18,7683243791235
угол: 139; радиус: 18,4390889145858
угол: 140; радиус: 17,0293863659264
угол: 141; радиус: 16,7107749670684
угол: 142; радиус: 16,4012194668567
