угол: 0; радиус: 83
угол: 1; радиус: 81,0061726043145
угол: 2; радиус: 77,0584193972339
угол: 3; радиус: 74,1080292545956
угол: 4; радиус: 72,1734023030645
угол: 5; радиус: 69,2603782836912
угол: 6; радиус: 67,3646791723972
угол: 7; радиус: 65,4904573201318
угол: 8; радиус: 62,6498204307083
угол: 9; радиус: 60,8276253029822
угол: 10; радиус: 59,8414572015087
угол: 11; радиус: 59,0338885725818
угол: 12; радиус: 56,2938717801503
угол: 13; радиус: 55,3172667437573
угол: 14; радиус: 54,571054598569
угол: 15; радиус: 53,2400225394393
угол: 16; радиус: 51,9230199429887
угол: 17; радиус: 50,2891638427206
угол: 18; радиус: 49,335585534176
угол: 19; радиус: 48,7031826475437
угол: 20; радиус: 47,7598157450382
угол: 21; радиус: 46,9920205992464
угол: 22; радиус: 46,2385120867876
угол: 23; радиус: 45,5
угол: 24; радиус: 44,7772263544762
угол: 25; радиус: 44,0709654988406
угол: 26; радиус: 43,3820239269677
угол: 27; радиус: 42,485291572496
угол: 28; радиус: 41,8240361514763
угол: 29; радиус: 41,182520563948
угол: 30; радиус: 40,3112887414927
угол: 31; радиус: 40,1310353716422
угол: 32; радиус: 39,9624824053762
угол: 33; радиус: 39,5755255457489
угол: 34; радиус: 39,1989228876962
угол: 35; радиус: 38,8329756778952
угол: 36; радиус: 37,2021504754766
угол: 37; радиус: 37,1012129181783
угол: 38; радиус: 37,0135110466435
угол: 39; радиус: 36,2353418639869
угол: 40; радиус: 36,1923871675921
угол: 41; радиус: 36,1555282387386
угол: 42; радиус: 36,1247837363769
угол: 43; радиус: 35,3836120259083
угол: 44; радиус: 34,6554469023269
угол: 45; радиус: 34,6482322781408
угол: 46; радиус: 34,6554469023269
угол: 47; радиус: 33,9705755029261
угол: 48; радиус: 33,9934634239519
угол: 49; радиус: 34,0228681265345
угол: 50; радиус: 34,0587727318528
угол: 51; радиус: 33,4215499341368
угол: 52; радиус: 33,5037311355019
угол: 53; радиус: 33,6005952328229
угол: 54; радиус: 33,3054049667618
угол: 55; радиус: 33,0151480384384
угол: 56; радиус: 32,4499614791759
угол: 57; радиус: 32,545694373023
угол: 58; радиус: 32,6479538239212
угол: 59; радиус: 32,7566787083184
угол: 60; радиус: 32,2490309931942
угол: 61; радиус: 32,3762601642349
угол: 62; радиус: 32,5098275739643
угол: 63; радиус: 32,649655434629
угол: 64; радиус: 32,2024843762092
угол: 65; радиус: 32,3608130649127
угол: 66; радиус: 32,5252039023415
угол: 67; радиус: 32,6955654485436
угол: 68; радиус: 32,310988842807
угол: 69; радиус: 32,1286476528347
угол: 70; радиус: 31,9530906173409
угол: 71; радиус: 32,2567822325786
угол: 72; радиус: 32,5729949498047
угол: 73; радиус: 32,422985673747
угол: 74; радиус: 32,2800247831379
угол: 75; радиус: 32,6266762021509
угол: 76; радиус: 32,9848450049413
угол: 77; радиус: 32,8671568590896
угол: 78; радиус: 32,7566787083184
угол: 79; радиус: 32,5576411921994
угол: 80; радиус: 32,962099447699
угол: 81; радиус: 33,3766385365573
угол: 82; радиус: 33,3054049667618
угол: 83; радиус: 33,2415402771893
угол: 84; радиус: 33,6823395861986
угол: 85; радиус: 34,132096331752
угол: 86; радиус: 34,0917878674616
угол: 87; радиус: 34,0587727318528
угол: 88; радиус: 35,0142828000232
угол: 89; радиус: 35,0035712463743
угол: 90; радиус: 35
угол: 91; радиус: 35,0035712463743
угол: 92; радиус: 35,0142828000232
угол: 93; радиус: 36,0555127546399
угол: 94; радиус: 36,0867011515323
угол: 95; радиус: 36,1247837363769
угол: 96; радиус: 37,2155881318568
угол: 97; радиус: 37,2726441240758
угол: 98; радиус: 37,3363094051889
угол: 99; радиус: 38,4707681233427
угол: 100; радиус: 38,6393581727233
угол: 101; радиус: 38,7330608137286
угол: 102; радиус: 38,8329756778952
угол: 103; радиус: 40,024992192379
угол: 104; радиус: 40,2616442783948
угол: 105; радиус: 41,4849370253831
угол: 106; радиус: 41,6203075433135
угол: 107; радиус: 41,7612260356422
угол: 108; радиус: 42,0594816896262
угол: 109; радиус: 43,3243580448689
угол: 110; радиус: 43,6577599058861
угол: 111; радиус: 44,9444101084885
угол: 112; радиус: 45,3100430368368
угол: 113; радиус: 46,6154480832267
угол: 114; радиус: 47,0106370941726
угол: 115; радиус: 47,4236228055175
угол: 116; радиус: 48,7544869729956
угол: 117; радиус: 49,1934955049954
угол: 118; радиус: 51
угол: 119; радиус: 52,3545604508337
угол: 120; радиус: 53,3385414123783
угол: 121; радиус: 54,7083174663597
угол: 122; радиус: 55,2268050859363
угол: 123; радиус: 57,1401785086466
угол: 124; радиус: 59,0762219509677
угол: 125; радиус: 59,6405902049938
угол: 126; радиус: 61,6116872029975
угол: 127; радиус: 63,6003144646314
угол: 128; радиус: 65,6048778674269
угол: 129; радиус: 68,2495421230062
угол: 130; радиус: 69,5269731830748
угол: 131; радиус: 68,0147042925278
угол: 132; радиус: 67,2681202353686
угол: 133; радиус: 65,7951365983839
угол: 134; радиус: 64,3506021727847
угол: 135; радиус: 63,6396103067893
угол: 136; радиус: 62,2414652783817
угол: 137; радиус: 61,5548535860496
угол: 138; радиус: 60,2079728939615
угол: 139; радиус: 59,5482997238376
угол: 140; радиус: 58,8982172905089
угол: 141; радиус: 57,6281181368956
угол: 142; радиус: 57,0087712549569
угол: 143; радиус: 56,4003546088143
угол: 144; радиус: 55,8032257132148
угол: 145; радиус: 54,644304369257
угол: 146; радиус: 54,0832691319598
угол: 147; радиус: 53,5350352572967
угол: 148; радиус: 53
угол: 149; радиус: 52,4785670536077
угол: 150; радиус: 51,9711458407451
угол: 151; радиус: 51,478150704935
угол: 152; радиус: 51
угол: 153; радиус: 50,5371150739731
угол: 154; радиус: 50,0899191454728
угол: 155; радиус: 49,6588360717405
угол: 156; радиус: 49,2442890089805
угол: 157; радиус: 48,8466989672793
угол: 158; радиус: 48,4664832642105
угол: 159; радиус: 48,1040538832228
угол: 160; радиус: 47,7598157450382
угол: 161; радиус: 47,5946425556491
угол: 162; радиус: 47,4341649025257
угол: 163; радиус: 47,1274866717927
угол: 164; радиус: 46,8401537145215
угол: 165; радиус: 46,5725240887801
угол: 166; радиус: 46,3249392876019
угол: 167; радиус: 46,0977222864644
угол: 168; радиус: 45,99184710359
угол: 169; радиус: 45,8911756223351
угол: 170; радиус: 45,7055795281058
угол: 171; радиус: 45,5411901469428
угол: 172; радиус: 45,3982378512647
угол: 173; радиус: 45,3348651701977
угол: 174; радиус: 45,2769256906871
угол: 175; радиус: 45,1774279923061
угол: 176; радиус: 45,0998891351187
угол: 177; радиус: 45,0444225182208
угол: 178; радиус: 45,0249930594109
угол: 179; радиус: 45,0111097397076
угол: 180; радиус: 45
угол: 181; радиус: 45,0111097397076
угол: 182; радиус: 45,0249930594109
угол: 183; радиус: 45,0444225182208
угол: 184; радиус: 45,0998891351187
угол: 185; радиус: 45,1774279923061
угол: 186; радиус: 45,2769256906871
угол: 187; радиус: 45,3348651701977
угол: 188; радиус: 45,3982378512647
угол: 189; радиус: 45,5411901469428
угол: 190; радиус: 45,7055795281058
угол: 191; радиус: 45,8911756223351
угол: 192; радиус: 45,99184710359
угол: 193; радиус: 46,0977222864644
угол: 194; радиус: 46,3249392876019
угол: 195; радиус: 46,5725240887801
угол: 196; радиус: 46,8401537145215
угол: 197; радиус: 47,1274866717927
угол: 198; радиус: 47,4341649025257
угол: 199; радиус: 47,5946425556491
угол: 200; радиус: 47,7598157450382
угол: 201; радиус: 48,1040538832228
угол: 202; радиус: 48,4664832642105
угол: 203; радиус: 48,8466989672793
угол: 204; радиус: 49,2442890089805
угол: 205; радиус: 49,6588360717405
угол: 206; радиус: 50,0899191454728
угол: 207; радиус: 50,5371150739731
угол: 208; радиус: 51
угол: 209; радиус: 51,478150704935
угол: 210; радиус: 51,9711458407451
угол: 211; радиус: 52,4785670536077
угол: 212; радиус: 53
угол: 213; радиус: 53,5350352572967
угол: 214; радиус: 54,0832691319598
угол: 215; радиус: 55,2177507691141
угол: 216; радиус: 55,8032257132148
угол: 217; радиус: 56,4003546088143
угол: 218; радиус: 57,0087712549569
угол: 219; радиус: 58,258046654518
угол: 220; радиус: 58,8982172905089
угол: 221; радиус: 59,5482997238376
угол: 222; радиус: 60,8769250208977
угол: 223; радиус: 61,5548535860496
угол: 224; радиус: 62,9364759102383
угол: 225; радиус: 63,6396103067893
угол: 226; радиус: 65,0691939399898
угол: 227; радиус: 66,5281895139196
угол: 228; радиус: 67,2681202353686
угол: 229; радиус: 68,7677249878168
угол: 230; радиус: 70,2922470831599
угол: 231; радиус: 69,656299069072
угол: 232; радиус: 67,6239602507869
угол: 233; радиус: 63,6003144646314
угол: 234; радиус: 63,0079360080935
угол: 235; радиус: 61,0327780786685
угол: 236; радиус: 59,0762219509677
угол: 237; радиус: 58,5234995535981
угол: 238; радиус: 56,6038867923396
угол: 239; радиус: 54,7083174663597
угол: 240; радиус: 53,3385414123783
угол: 241; радиус: 52,3545604508337
угол: 242; радиус: 51
угол: 243; радиус: 50,5371150739731
угол: 244; радиус: 48,7544869729956
угол: 245; радиус: 47,4236228055175
угол: 246; радиус: 47,0106370941726
угол: 247; радиус: 46,6154480832267
угол: 248; радиус: 45,3100430368368
угол: 249; радиус: 44,9444101084885
угол: 250; радиус: 43,6577599058861
угол: 251; радиус: 43,3243580448689
угол: 252; радиус: 42,0594816896262
угол: 253; радиус: 41,7612260356422
угол: 254; радиус: 41,6203075433135
угол: 255; радиус: 41,4849370253831
угол: 256; радиус: 40,2616442783948
угол: 257; радиус: 40,024992192379
угол: 258; радиус: 38,8329756778952
угол: 259; радиус: 38,7330608137286
угол: 260; радиус: 38,6393581727233
угол: 261; радиус: 38,4707681233427
угол: 262; радиус: 37,3363094051889
угол: 263; радиус: 37,2726441240758
угол: 264; радиус: 37,2155881318568
угол: 265; радиус: 36,1247837363769
угол: 266; радиус: 36,0867011515323
угол: 267; радиус: 36,0555127546399
угол: 268; радиус: 35,0142828000232
угол: 269; радиус: 35,0035712463743
угол: 270; радиус: 35
угол: 271; радиус: 35,0035712463743
угол: 272; радиус: 35,0142828000232
угол: 273; радиус: 34,0587727318528
угол: 274; радиус: 34,0917878674616
угол: 275; радиус: 34,132096331752
угол: 276; радиус: 33,6823395861986
угол: 277; радиус: 33,2415402771893
угол: 278; радиус: 33,3054049667618
угол: 279; радиус: 33,3766385365573
угол: 280; радиус: 32,962099447699
угол: 281; радиус: 32,5576411921994
угол: 282; радиус: 32,7566787083184
угол: 283; радиус: 32,8671568590896
угол: 284; радиус: 32,9848450049413
угол: 285; радиус: 32,6266762021509
угол: 286; радиус: 32,2800247831379
угол: 287; радиус: 32,422985673747
угол: 288; радиус: 32,5729949498047
угол: 289; радиус: 32,2567822325786
угол: 290; радиус: 31,9530906173409
угол: 291; радиус: 32,1286476528347
угол: 292; радиус: 32,310988842807
угол: 293; радиус: 32,6955654485436
угол: 294; радиус: 32,5252039023415
угол: 295; радиус: 32,3608130649127
угол: 296; радиус: 32,2024843762092
угол: 297; радиус: 32,649655434629
угол: 298; радиус: 32,5098275739643
угол: 299; радиус: 32,3762601642349
угол: 300; радиус: 32,2490309931942
угол: 301; радиус: 32,7566787083184
угол: 302; радиус: 32,6479538239212
угол: 303; радиус: 32,545694373023
угол: 304; радиус: 32,4499614791759
угол: 305; радиус: 33,0151480384384
угол: 306; радиус: 33,3054049667618
угол: 307; радиус: 33,6005952328229
